"","bee","bee.genus","bee.subgenus"
"78","Homalictus (Homalictus) punctatus","Homalictus","Homalictus (Homalictus)"
"79","Homalictus (Homalictus) punctatus","Homalictus","Homalictus (Homalictus)"
"80","Homalictus (Homalictus) punctatus","Homalictus","Homalictus (Homalictus)"
"81","Homalictus (Homalictus) scrupulosus","Homalictus","Homalictus (Homalictus)"
"82","Homalictus (Homalictus) sp. unsorted","Homalictus","Homalictus (Homalictus)"
"83","Homalictus (Homalictus) sp. unsorted","Homalictus","Homalictus (Homalictus)"
"84","Homalictus (Homalictus) sphecodoides","Homalictus","Homalictus (Homalictus)"
"85","Homalictus (Homalictus) sphecodoides","Homalictus","Homalictus (Homalictus)"
"86","Homalictus (Homalictus) sphecodoides","Homalictus","Homalictus (Homalictus)"
"87","Homalictus (Homalictus) sphecodoides","Homalictus","Homalictus (Homalictus)"
"88","Homalictus (Homalictus) sphecodoides","Homalictus","Homalictus (Homalictus)"
"89","Homalictus (Homalictus) sphecodoides","Homalictus","Homalictus (Homalictus)"
"90","Homalictus (Homalictus) sphecodoides","Homalictus","Homalictus (Homalictus)"
"91","Homalictus (Homalictus) sphecodoides","Homalictus","Homalictus (Homalictus)"
"92","Homalictus (Homalictus) sphecodoides","Homalictus","Homalictus (Homalictus)"
"93","Homalictus (Homalictus) sphecodoides","Homalictus","Homalictus (Homalictus)"
"94","Homalictus (Homalictus) sphecodoides","Homalictus","Homalictus (Homalictus)"
"95","Homalictus (Homalictus) sphecodopsis","Homalictus","Homalictus (Homalictus)"
"96","Homalictus (Homalictus) sphecodopsis","Homalictus","Homalictus (Homalictus)"
"97","Homalictus (Homalictus) sphecodopsis","Homalictus","Homalictus (Homalictus)"
"98","Homalictus (Homalictus) sphecodopsis","Homalictus","Homalictus (Homalictus)"
"99","Homalictus (Homalictus) sphecodopsis","Homalictus","Homalictus (Homalictus)"
"100","Homalictus (Homalictus) sphecodopsis","Homalictus","Homalictus (Homalictus)"
"101","Homalictus (Homalictus) sphecodopsis","Homalictus","Homalictus (Homalictus)"
"102","Homalictus (Homalictus) sphecodopsis","Homalictus","Homalictus (Homalictus)"
"103","Homalictus (Homalictus) sphecodopsis","Homalictus","Homalictus (Homalictus)"
"104","Homalictus (Homalictus) urbanus","Homalictus","Homalictus (Homalictus)"
"105","Homalictus (Homalictus) urbanus","Homalictus","Homalictus (Homalictus)"
"106","Homalictus (Homalictus) urbanus","Homalictus","Homalictus (Homalictus)"
"107","Homalictus (Homalictus) urbanus","Homalictus","Homalictus (Homalictus)"
"108","Homalictus (Homalictus) urbanus","Homalictus","Homalictus (Homalictus)"
"109","Homalictus (Homalictus) urbanus","Homalictus","Homalictus (Homalictus)"
"110","Homalictus (Homalictus) urbanus","Homalictus","Homalictus (Homalictus)"
"111","Homalictus (Homalictus) urbanus","Homalictus","Homalictus (Homalictus)"
"112","Homalictus (Homalictus) urbanus","Homalictus","Homalictus (Homalictus)"
"113","Homalictus (Homalictus) urbanus","Homalictus","Homalictus (Homalictus)"
"114","Homalictus (Homalictus) urbanus","Homalictus","Homalictus (Homalictus)"
"115","Homalictus (Homalictus) urbanus","Homalictus","Homalictus (Homalictus)"
"116","Homalictus (Homalictus) urbanus","Homalictus","Homalictus (Homalictus)"
"117","Homalictus (Homalictus) urbanus","Homalictus","Homalictus (Homalictus)"
"118","Homalictus (Homalictus) urbanus","Homalictus","Homalictus (Homalictus)"
"119","Homalictus (Homalictus) urbanus","Homalictus","Homalictus (Homalictus)"
"120","Homalictus (Homalictus) urbanus","Homalictus","Homalictus (Homalictus)"
"121","Homalictus (Homalictus) urbanus","Homalictus","Homalictus (Homalictus)"
"122","Homalictus (Homalictus) urbanus","Homalictus","Homalictus (Homalictus)"
"123","Homalictus (Homalictus) urbanus","Homalictus","Homalictus (Homalictus)"
"124","Homalictus (Homalictus) urbanus","Homalictus","Homalictus (Homalictus)"
"125","Homalictus (Homalictus) urbanus","Homalictus","Homalictus (Homalictus)"
"126","Homalictus (Homalictus) urbanus","Homalictus","Homalictus (Homalictus)"
"127","Lasioglossum (Australictus) lithuscum","Lasioglossum","Lasioglossum (Australictus)"
"128","Lasioglossum (Australictus) lithuscum","Lasioglossum","Lasioglossum (Australictus)"
"129","Lasioglossum (Australictus) lithuscum","Lasioglossum","Lasioglossum (Australictus)"
"130","Lasioglossum (Australictus) lithuscum","Lasioglossum","Lasioglossum (Australictus)"
"131","Lasioglossum (Australictus) lithuscum","Lasioglossum","Lasioglossum (Australictus)"
"132","Lasioglossum (Australictus) lithuscum","Lasioglossum","Lasioglossum (Australictus)"
"133","Lasioglossum (Australictus) peraustrale","Lasioglossum","Lasioglossum (Australictus)"
"134","Lasioglossum (Australictus) peraustrale","Lasioglossum","Lasioglossum (Australictus)"
"135","Lasioglossum (Australictus) peraustrale","Lasioglossum","Lasioglossum (Australictus)"
"136","Lasioglossum (Australictus) peraustrale","Lasioglossum","Lasioglossum (Australictus)"
"137","Lasioglossum (Australictus) peraustrale","Lasioglossum","Lasioglossum (Australictus)"
"138","Lasioglossum (Australictus) peraustrale","Lasioglossum","Lasioglossum (Australictus)"
"139","Lasioglossum (Australictus) peraustrale","Lasioglossum","Lasioglossum (Australictus)"
"140","Lasioglossum (Australictus) peraustrale","Lasioglossum","Lasioglossum (Australictus)"
"141","Lasioglossum (Australictus) plorator","Lasioglossum","Lasioglossum (Australictus)"
"142","Lasioglossum (Australictus) plorator","Lasioglossum","Lasioglossum (Australictus)"
"143","Lasioglossum (Australictus) tertium","Lasioglossum","Lasioglossum (Australictus)"
"144","Lasioglossum (Australictus) tertium","Lasioglossum","Lasioglossum (Australictus)"
"145","Lasioglossum (Australictus) tertium","Lasioglossum","Lasioglossum (Australictus)"
"146","Lasioglossum (Australictus) tertium","Lasioglossum","Lasioglossum (Australictus)"
"147","Lasioglossum (Austrevylaeus) msp. austr1","Lasioglossum","Lasioglossum (Austrevylaeus)"
"148","Lasioglossum (Austrevylaeus) msp. austr2","Lasioglossum","Lasioglossum (Austrevylaeus)"
"149","Lasioglossum (Austrevylaeus) msp. austr2","Lasioglossum","Lasioglossum (Austrevylaeus)"
"150","Lasioglossum (Austrevylaeus) msp. austr2","Lasioglossum","Lasioglossum (Austrevylaeus)"
"151","Lasioglossum (Austrevylaeus) msp. austr3","Lasioglossum","Lasioglossum (Austrevylaeus)"
"152","Lasioglossum (Austrevylaeus) msp. austr3","Lasioglossum","Lasioglossum (Austrevylaeus)"
"153","Lasioglossum (Austrevylaeus) msp. bernh","Lasioglossum","Lasioglossum (Austrevylaeus)"
"154","Lasioglossum (Austrevylaeus) msp. bernh","Lasioglossum","Lasioglossum (Austrevylaeus)"
"155","Lasioglossum (Austrevylaeus) sp. unsorted","Lasioglossum","Lasioglossum (Austrevylaeus)"
"156","Lasioglossum (Austrevylaeus) sp. unsorted","Lasioglossum","Lasioglossum (Austrevylaeus)"
"157","Lasioglossum (Austrevylaeus) sp. unsorted","Lasioglossum","Lasioglossum (Austrevylaeus)"
"158","Lasioglossum (Austrevylaeus) sp. unsorted","Lasioglossum","Lasioglossum (Austrevylaeus)"
"159","Lasioglossum (Austrevylaeus) sp. unsorted","Lasioglossum","Lasioglossum (Austrevylaeus)"
"160","Lasioglossum (Callalictus) callomelittinum","Lasioglossum","Lasioglossum (Callalictus)"
"161","Lasioglossum (Callalictus) callomelittinum","Lasioglossum","Lasioglossum (Callalictus)"
"162","Lasioglossum (Callalictus) callomelittinum","Lasioglossum","Lasioglossum (Callalictus)"
"163","Lasioglossum (Callalictus) callomelittinum","Lasioglossum","Lasioglossum (Callalictus)"
"164","Lasioglossum (Callalictus) callomelittinum","Lasioglossum","Lasioglossum (Callalictus)"
"165","Lasioglossum (Callalictus) callomelittinum","Lasioglossum","Lasioglossum (Callalictus)"
"166","Lasioglossum (Callalictus) callomelittinum","Lasioglossum","Lasioglossum (Callalictus)"
"167","Lasioglossum (Callalictus) callomelittinum","Lasioglossum","Lasioglossum (Callalictus)"
"168","Lasioglossum (Callalictus) callomelittinum","Lasioglossum","Lasioglossum (Callalictus)"
"169","Lasioglossum (Callalictus) callomelittinum","Lasioglossum","Lasioglossum (Callalictus)"
"170","Lasioglossum (Chilalictus) adustum","Lasioglossum","Lasioglossum (Chilalictus)"
"171","Lasioglossum (Chilalictus) adustum","Lasioglossum","Lasioglossum (Chilalictus)"
"172","Lasioglossum (Chilalictus) adustum","Lasioglossum","Lasioglossum (Chilalictus)"
"173","Lasioglossum (Chilalictus) alacarinatum","Lasioglossum","Lasioglossum (Chilalictus)"
"174","Lasioglossum (Chilalictus) alacarinatum","Lasioglossum","Lasioglossum (Chilalictus)"
"175","Lasioglossum (Chilalictus) albopilosum","Lasioglossum","Lasioglossum (Chilalictus)"
"176","Lasioglossum (Chilalictus) albopilosum","Lasioglossum","Lasioglossum (Chilalictus)"
"177","Lasioglossum (Chilalictus) albopilosum","Lasioglossum","Lasioglossum (Chilalictus)"
"178","Lasioglossum (Chilalictus) albopilosum","Lasioglossum","Lasioglossum (Chilalictus)"
"179","Lasioglossum (Chilalictus) albopilosum","Lasioglossum","Lasioglossum (Chilalictus)"
