"","source","target","value"
"400","Lasioglossum (Chilalictus) fasciatum","Melaleuca sp",2
"401","Lasioglossum (Chilalictus) florale","Eremophila scoparia",1
"402","Lasioglossum (Chilalictus) florale","Eremophila sp",1
"403","Lasioglossum (Chilalictus) florale","Eucalyptus calycogona",1
"404","Lasioglossum (Chilalictus) florale","Haloragis trigonocarpa",4
"405","Lasioglossum (Chilalictus) florale","Leptospermum sp",2
"406","Lasioglossum (Chilalictus) florale","Melaleuca sp",12
"407","Lasioglossum (Chilalictus) florale","Nitraria billardierei",1
"408","Lasioglossum (Chilalictus) gilesi","Acacia buxifolia",1
"409","Lasioglossum (Chilalictus) gilesi","Acacia dealbata",1
"410","Lasioglossum (Chilalictus) gilesi","Bauera rubiodes",1
"411","Lasioglossum (Chilalictus) gilesi","Bursaria spinosa",4
"412","Lasioglossum (Chilalictus) gilesi","Eucalyptus piperita",3
"413","Lasioglossum (Chilalictus) gilesi","Eucalyptus sp",1
"414","Lasioglossum (Chilalictus) gilesi","Eucalyptus sp",1
"415","Lasioglossum (Chilalictus) gilesi","Jacksonia scoparia",1
"416","Lasioglossum (Chilalictus) gilesi","Leptospermum sp",1
"417","Lasioglossum (Chilalictus) gilesi","Prostanthera scutellarioides",1
"418","Lasioglossum (Chilalictus) gilesi","Pultenaea sp",1
"419","Lasioglossum (Chilalictus) gilesi","Senecio amygdalifolia",1
"420","Lasioglossum (Chilalictus) gilesi","Senna sp",1
"421","Lasioglossum (Chilalictus) gilesi","Wahlenbergia sp",8
"422","Lasioglossum (Chilalictus) globosum","Calotis cuneifolia",5
"423","Lasioglossum (Chilalictus) globosum","Wahlenbergia sp",12
"424","Lasioglossum (Chilalictus) greavesi","Acacia sp",2
"425","Lasioglossum (Chilalictus) greavesi","Eremophila deserti",2
"426","Lasioglossum (Chilalictus) greavesi","Eremophila scoparia",1
"427","Lasioglossum (Chilalictus) greavesi","Eremophila sturtii",1
"428","Lasioglossum (Chilalictus) greavesi","Olearia sp",1
"429","Lasioglossum (Chilalictus) grumiculum","Cryptandra spinescens",2
"430","Lasioglossum (Chilalictus) grumiculum","Epacris microphylla",1
"431","Lasioglossum (Chilalictus) gunbowerense","Brachychiton populneum",1
"432","Lasioglossum (Chilalictus) gunbowerense","Eremophila deserti",13
"433","Lasioglossum (Chilalictus) gunbowerense","Eucalyptus dumosa",3
"434","Lasioglossum (Chilalictus) gunbowerense","Eucalyptus sp",5
"435","Lasioglossum (Chilalictus) gunbowerense","Leptospermum sp",1
"436","Lasioglossum (Chilalictus) gynochilum","Wahlenbergia sp",60
"437","Lasioglossum (Chilalictus) helichrysi","Acacia oswaldi",2
"438","Lasioglossum (Chilalictus) helichrysi","Calotis cuneifolia",1
"439","Lasioglossum (Chilalictus) helichrysi","Calotis erinacea",2
"440","Lasioglossum (Chilalictus) helichrysi","Calotis sp",1
"441","Lasioglossum (Chilalictus) helichrysi","Craspedia haplorrhiza",6
"442","Lasioglossum (Chilalictus) helichrysi","Daviesia leptophylla",1
"443","Lasioglossum (Chilalictus) helichrysi","Disphyma crassifolium",2
"444","Lasioglossum (Chilalictus) helichrysi","Eremophila deserti",7
"445","Lasioglossum (Chilalictus) helichrysi","Eucalyptus albens",2
"446","Lasioglossum (Chilalictus) helichrysi","Eucalyptus dumosa",1
"447","Lasioglossum (Chilalictus) helichrysi","Eucalyptus socialis",1
"448","Lasioglossum (Chilalictus) helichrysi","Coronidium scorpioides",1
"449","Lasioglossum (Chilalictus) helichrysi","Melaleuca decussata",6
"450","Lasioglossum (Chilalictus) helichrysi","Melaleuca uncinata",1
"451","Lasioglossum (Chilalictus) helichrysi","Polycalymma stuartii",3
"452","Lasioglossum (Chilalictus) helichrysi","Pultenaea boormanii",2
"453","Lasioglossum (Chilalictus) helichrysi","Pultenaea foliolosa",1
"454","Lasioglossum (Chilalictus) helichrysi","Pultenaea procumbens",2
"455","Lasioglossum (Chilalictus) helichrysi","Reichardia tingitana",2
"456","Lasioglossum (Chilalictus) helichrysi","Taraxacum officinale",1
"457","Lasioglossum (Chilalictus) helichrysi","Wahlenbergia sp",11
"458","Lasioglossum (Chilalictus) helichrysi","Xerochrysum bracteatum",1
"459","Lasioglossum (Chilalictus) hemichalceum","Acacia buxifolia",1
"460","Lasioglossum (Chilalictus) hemichalceum","Acacia johnsonii",7
"461","Lasioglossum (Chilalictus) hemichalceum","Acacia rubida",10
"462","Lasioglossum (Chilalictus) hemichalceum","Acacia sp",7
"463","Lasioglossum (Chilalictus) hemichalceum","Callistemon citrinus",1
"464","Lasioglossum (Chilalictus) hemichalceum","Callistemon sp",2
"465","Lasioglossum (Chilalictus) hemichalceum","Calytrix tetragona",5
"466","Lasioglossum (Chilalictus) hemichalceum","Daviesia leptophylla",1
"467","Lasioglossum (Chilalictus) hemichalceum","Daviesia sp",1
"468","Lasioglossum (Chilalictus) hemichalceum","Eremophila interstans",2
"469","Lasioglossum (Chilalictus) hemichalceum","Eremophila longifolia",1
"470","Lasioglossum (Chilalictus) hemichalceum","Eremophila scoparia",3
"471","Lasioglossum (Chilalictus) hemichalceum","Eremophila sp",1
"472","Lasioglossum (Chilalictus) hemichalceum","Eremophila sturtii",3
"473","Lasioglossum (Chilalictus) hemichalceum","Eucalyptus sp",1
"474","Lasioglossum (Chilalictus) hemichalceum","Eucalyptus calycogona",1
"475","Lasioglossum (Chilalictus) hemichalceum","Eucalyptus leucoxylon",4
"476","Lasioglossum (Chilalictus) hemichalceum","Eucalyptus sp",7
"477","Lasioglossum (Chilalictus) hemichalceum","Eucalyptus sp",1
"478","Lasioglossum (Chilalictus) hemichalceum","Eucalyptus yalatensis",4
"479","Lasioglossum (Chilalictus) hemichalceum","Leucopogon lanceolatus",6
"480","Lasioglossum (Chilalictus) hemichalceum","Melaleuca decussata",2
"481","Lasioglossum (Chilalictus) hemichalceum","Melaleuca nodosa",3
"482","Lasioglossum (Chilalictus) hemichalceum","Melaleuca sp",14
"483","Lasioglossum (Chilalictus) hemichalceum","Myoporum sp",1
"484","Lasioglossum (Chilalictus) hemichalceum","Thelionema caespitosum",1
"485","Lasioglossum (Chilalictus) hemichalceum","Westringia rigida",4
"486","Lasioglossum (Chilalictus) hemichalceum","Xanthorrhoea media",1
"487","Lasioglossum (Chilalictus) humei","Taraxacum officinale",3
"488","Lasioglossum (Chilalictus) humei","Calotis cuneifolia",3
"489","Lasioglossum (Chilalictus) humei","Wahlenbergia sp",16
"490","Lasioglossum (Chilalictus) humei","Xerochrysum bracteatum",2
"491","Lasioglossum (Chilalictus) imitans","Mirbelia rubiifolia",2
"492","Lasioglossum (Chilalictus) imitans","Sphaerolobium minus",1
"493","Lasioglossum (Chilalictus) imitans","Stylidium sp",1
"494","Lasioglossum (Chilalictus) imitans","Wahlenbergia sp",2
"495","Lasioglossum (Chilalictus) immaculatum","Eremophila maculata",6
"496","Lasioglossum (Chilalictus) immaculatum","Grevillea juncifolia",2
"497","Lasioglossum (Chilalictus) impunctatum","Eremophila scoparia",1
"498","Lasioglossum (Chilalictus) impunctatum","Olearia sp",3
"499","Lasioglossum (Chilalictus) impunctatum","Westringia rigida",1
"500","Lasioglossum (Chilalictus) instabilis","Bursaria spinosa",1
"501","Lasioglossum (Chilalictus) instabilis","Chloanthes parviflora",1
"502","Lasioglossum (Chilalictus) instabilis","Epacris microphylla",1
"503","Lasioglossum (Chilalictus) instabilis","Grevillea sericea",2
"504","Lasioglossum (Chilalictus) instabilis","Hardenbergia violacea",1
"505","Lasioglossum (Chilalictus) instabilis","Hibbertia acuminata",2
"506","Lasioglossum (Chilalictus) instabilis","Hibbertia sp",1
"507","Lasioglossum (Chilalictus) instabilis","Lambertia formosa",1
"508","Lasioglossum (Chilalictus) instabilis","Monotoca scoparia",1
"509","Lasioglossum (Chilalictus) instabilis","Pultenaea microphylla",1
"510","Lasioglossum (Chilalictus) instabilis","Pultenaea tuberculata",1
"511","Lasioglossum (Chilalictus) instabilis","Stylidium productum",2
"512","Lasioglossum (Chilalictus) lanarium","Taraxacum officinale",5
"513","Lasioglossum (Chilalictus) lanarium","Baeckea brevifolia",1
"514","Lasioglossum (Chilalictus) lanarium","Brachycome sp",1
"515","Lasioglossum (Chilalictus) lanarium","Calotis cuneifolia",3
"516","Lasioglossum (Chilalictus) lanarium","Frankenia sp",1
"517","Lasioglossum (Chilalictus) lanarium","Hibbertia sp",1
"518","Lasioglossum (Chilalictus) lanarium","Melaleuca sp",2
"519","Lasioglossum (Chilalictus) lanarium","Microseris lanceolata",1
"520","Lasioglossum (Chilalictus) lanarium","Philotheca salsolifolia",1
"521","Lasioglossum (Chilalictus) lanarium","Podolepis sp",2
"522","Lasioglossum (Chilalictus) lanarium","Pultenaea microphylla",2
"523","Lasioglossum (Chilalictus) lanarium","Pultenaea procumbens",2
"524","Lasioglossum (Chilalictus) lanarium","Ranunculus sp",1
"525","Lasioglossum (Chilalictus) lanarium","Senecio lautus",1
"526","Lasioglossum (Chilalictus) lanarium","Stylidium sp",1
"527","Lasioglossum (Chilalictus) lanarium","Wahlenbergia sp",2
"528","Lasioglossum (Chilalictus) lanarium","Westringia sp",2
"529","Lasioglossum (Chilalictus) lanarium","Xerochrysum bracteatum",5
"530","Lasioglossum (Chilalictus) latichilum","Lepidium leptopetalum",4
"531","Lasioglossum (Chilalictus) latichilum","Leucochrysum albicans",1
"532","Lasioglossum (Chilalictus) lineatum","Acacia pendula",1
"533","Lasioglossum (Chilalictus) lineatum","Amyema sp",1
"534","Lasioglossum (Chilalictus) lineatum","Eremophila bignoniiflora",1
"535","Lasioglossum (Chilalictus) lineatum","Eremophila maculata",4
"536","Lasioglossum (Chilalictus) lineatum","Eremophila mitchellii",2
"537","Lasioglossum (Chilalictus) littleri","Taraxacum officinale",1
"538","Lasioglossum (Chilalictus) littleri","Acacia melanoxylon",1
"539","Lasioglossum (Chilalictus) littleri","Acacia myrtifolia",1
"540","Lasioglossum (Chilalictus) littleri","Calotis cuneifolia",1
"541","Lasioglossum (Chilalictus) littleri","Calytrix tetragona",3
"542","Lasioglossum (Chilalictus) littleri","Digitalis purpurea",1
"543","Lasioglossum (Chilalictus) littleri","Eremophila mitchellii",4
"544","Lasioglossum (Chilalictus) littleri","Eucalyptus sp",2
"545","Lasioglossum (Chilalictus) littleri","Kunzea parvifolia",1
"546","Lasioglossum (Chilalictus) littleri","Myosotis alpestris",1
"547","Lasioglossum (Chilalictus) littleri","Prostanthera lasianthos",2
"548","Lasioglossum (Chilalictus) littleri","Senecio linearifolius",1
"549","Lasioglossum (Chilalictus) littleri","Solanum pungetium",1
"550","Lasioglossum (Chilalictus) littleri","Wahlenbergia sp",1
"551","Lasioglossum (Chilalictus) macrops","Wahlenbergia sp",10
"552","Lasioglossum (Chilalictus) mediopolitum","Acacia decora",2
"553","Lasioglossum (Chilalictus) mediopolitum","Acacia sp",3
"554","Lasioglossum (Chilalictus) mediopolitum","Eremophila deserti",1
"555","Lasioglossum (Chilalictus) mediopolitum","Eremophila scoparia",2
"556","Lasioglossum (Chilalictus) mediopolitum","Eremophila sp",1
"557","Lasioglossum (Chilalictus) mediopolitum","Eucalyptus sp",1
"558","Lasioglossum (Chilalictus) mediopolitum","Eucalyptus dumosa",12
"559","Lasioglossum (Chilalictus) mediopolitum","Eucalyptus sideroxylon",2
"560","Lasioglossum (Chilalictus) mediopolitum","Eucalyptus socialis",3
"561","Lasioglossum (Chilalictus) mediopolitum","Eucalyptus sp",16
"562","Lasioglossum (Chilalictus) mediopolitum","Eucalyptus torquata",1
"563","Lasioglossum (Chilalictus) mediopolitum","Melaleuca sp",4
"564","Lasioglossum (Chilalictus) mediopolitum","Nitraria billardierei",5
"565","Lasioglossum (Chilalictus) mediopolitum","Senna sp",2
"566","Lasioglossum (Chilalictus) mediopolitum","Wahlenbergia sp",1
"567","Lasioglossum (Chilalictus) mediopolitum","Westringia rigida",5
"568","Lasioglossum (Chilalictus) mesembryanthemi","Carpobrotus rossii",9
"569","Lasioglossum (Chilalictus) mesostenoideum","Acacia sp",1
"570","Lasioglossum (Chilalictus) mesostenoideum","Chrysocephalum apiculatum",2
"571","Lasioglossum (Chilalictus) mesostenoideum","Eremophila mitchellii",2
"572","Lasioglossum (Chilalictus) mesostenoideum","Eremophila scoparia",3
"573","Lasioglossum (Chilalictus) mesostenoideum","Westringia rigida",3
"574","Lasioglossum (Chilalictus) mundulum","Taraxacum officinale",1
"575","Lasioglossum (Chilalictus) mundulum","Acacia cana",1
"576","Lasioglossum (Chilalictus) mundulum","Acacia colletoides",2
"577","Lasioglossum (Chilalictus) mundulum","Angophora floribunda",6
"578","Lasioglossum (Chilalictus) mundulum","Angophora hispida",1
"579","Lasioglossum (Chilalictus) mundulum","Brachychiton populneum",1
"580","Lasioglossum (Chilalictus) mundulum","Celmisia sp",2
"581","Lasioglossum (Chilalictus) mundulum","Echium plantagineum",1
"582","Lasioglossum (Chilalictus) mundulum","Eremophila deserti",1
"583","Lasioglossum (Chilalictus) mundulum","Eremophila sturtii",1
"584","Lasioglossum (Chilalictus) mundulum","Eucalyptus albens",1
"585","Lasioglossum (Chilalictus) mundulum","Eucalyptus sp",3
"586","Lasioglossum (Chilalictus) mundulum","Leptospermum sp",1
"587","Lasioglossum (Chilalictus) mundulum","Senecio linearifolius",1
"588","Lasioglossum (Chilalictus) mundulum","Wahlenbergia sp",6
"589","Lasioglossum (Chilalictus) oblitum","Bossiaea walkeri",1
"590","Lasioglossum (Chilalictus) oblitum","Eremophila scoparia",1
"591","Lasioglossum (Chilalictus) oblitum","Verticordia acerosa",1
"592","Lasioglossum (Chilalictus) obscurissimum","Wahlenbergia sp",25
"593","Lasioglossum (Chilalictus) occiduum","Grevillea didymobotrya",1
"594","Lasioglossum (Chilalictus) occiduum","Grevillea teretifolia",1
"595","Lasioglossum (Chilalictus) opacicolle","Boronia sp",1
"596","Lasioglossum (Chilalictus) opacicolle","Daviesia mimosoides",1
"597","Lasioglossum (Chilalictus) opacicolle","Oxylobium cordifolium",1
"598","Lasioglossum (Chilalictus) opacicolle","Platylobium sp",7
"599","Lasioglossum (Chilalictus) opacicolle","Podolobium ilicifolium",1
"600","Lasioglossum (Chilalictus) opacicolle","Pultenaea flexilis",4
"601","Lasioglossum (Chilalictus) opacicolle","Pultenaea procumbens",1
"602","Lasioglossum (Chilalictus) opacicolle","Pultenaea scabra",2
"603","Lasioglossum (Chilalictus) opacicolle","Pultenaea sp",1
"604","Lasioglossum (Chilalictus) opacicolle","Senecio linearifolius",1
"605","Lasioglossum (Chilalictus) orbatum","Rubus fruticosus",1
"606","Lasioglossum (Chilalictus) orbatum","Craspedia sp",1
"607","Lasioglossum (Chilalictus) orbatum","Daviesia latifolia",2
"608","Lasioglossum (Chilalictus) orbatum","Daviesia mimosoides",2
"609","Lasioglossum (Chilalictus) orbatum","Goodia lotifolia",1
"610","Lasioglossum (Chilalictus) orbatum","Hardenbergia violacea",3
"611","Lasioglossum (Chilalictus) orbatum","Jacksonia scoparia",6
"612","Lasioglossum (Chilalictus) orbatum","Mirbelia confertiflora",2
"613","Lasioglossum (Chilalictus) orbatum","Oxylobium arborescens",2
"614","Lasioglossum (Chilalictus) orbatum","Phyllota phylicoides",2
"615","Lasioglossum (Chilalictus) orbatum","Podolobium ilicifolium",3
"616","Lasioglossum (Chilalictus) orbatum","Pultenaea boormanii",1
"617","Lasioglossum (Chilalictus) orbatum","Pultenaea microphylla",1
"618","Lasioglossum (Chilalictus) orbatum","Wahlenbergia sp",1
"619","Lasioglossum (Chilalictus) pachycephalum","Acacia wilhelmiana",1
"620","Lasioglossum (Chilalictus) pachycephalum","Callistemon sp",1
"621","Lasioglossum (Chilalictus) pachycephalum","Eremophila gilesii",2
"622","Lasioglossum (Chilalictus) pachycephalum","Eremophila longifolia",1
"623","Lasioglossum (Chilalictus) pachycephalum","Eremophila mitchellii",2
"624","Lasioglossum (Chilalictus) pachycephalum","Eremophila sp",1
"625","Lasioglossum (Chilalictus) pachycephalum","Eremophila sturtii",4
"626","Lasioglossum (Chilalictus) pachycephalum","Goodenia bellidifolia",1
"627","Lasioglossum (Chilalictus) pachycephalum","Senna artemisiodes",2
"628","Lasioglossum (Chilalictus) pachycephalum","Senna sp",3
"629","Lasioglossum (Chilalictus) parasphecodum","Melaleuca sp",1
"630","Lasioglossum (Chilalictus) platycephalum","Taraxacum officinale",1
"631","Lasioglossum (Chilalictus) platycephalum","Dillwynia tenuifolia",1
"632","Lasioglossum (Chilalictus) platycephalum","Eremophila maculata",1
"633","Lasioglossum (Chilalictus) platycephalum","Erigeron sp",1
"634","Lasioglossum (Chilalictus) platycephalum","Pultenaea microphylla",2
"635","Lasioglossum (Chilalictus) platychilum","Goodenia bellidifolia",5
"636","Lasioglossum (Chilalictus) platychilum","Goodenia cycloptera",1
"637","Lasioglossum (Chilalictus) platychilum","Scaevola depauperata",5
"638","Lasioglossum (Chilalictus) plebeium","Taraxacum officinale",2
"639","Lasioglossum (Chilalictus) plebeium","Eremophila mitchellii",1
"640","Lasioglossum (Chilalictus) plebeium","Microseris lanceolata",2
"641","Lasioglossum (Chilalictus) plebeium","Prostanthera lasianthos",1
"642","Lasioglossum (Chilalictus) plebeium","Pultenaea flexilis",1
"643","Lasioglossum (Chilalictus) polygoni","Cordyline stricta",4
"644","Lasioglossum (Chilalictus) pulvitectum","Taraxacum officinale",3
"645","Lasioglossum (Chilalictus) pulvitectum","Dampiera sp",2
"646","Lasioglossum (Chilalictus) pulvitectum","Eucalyptus sp",8
"647","Lasioglossum (Chilalictus) pulvitectum","Eucalyptus sideroxylon",1
"648","Lasioglossum (Chilalictus) pulvitectum","Frankenia sp",1
"649","Lasioglossum (Chilalictus) pulvitectum","Taraxacum officinale",3
"650","Lasioglossum (Chilalictus) pulvitectum","Wahlenbergia sp",4
"651","Lasioglossum (Chilalictus) quadratum","Angophora floribunda",1
"652","Lasioglossum (Chilalictus) quadratum","Eremophila mitchellii",1
"653","Lasioglossum (Chilalictus) quadratum","Melaleuca gibbosa",1
"654","Lasioglossum (Chilalictus) repraesentans","Boronia microphylla",1
"655","Lasioglossum (Chilalictus) repraesentans","Calytrix tetragona",1
"656","Lasioglossum (Chilalictus) repraesentans","Craspedia sp",2
"657","Lasioglossum (Chilalictus) repraesentans","Grevillea laurifolia",1
"658","Lasioglossum (Chilalictus) repraesentans","Senecio linearifolius",1
"659","Lasioglossum (Chilalictus) repraesentans","Senecio sp",1
"660","Lasioglossum (Chilalictus) repraesentans","Wahlenbergia sp",1
"661","Lasioglossum (Chilalictus) roddi","Disphyma crassifolium",3
"662","Lasioglossum (Chilalictus) roddi","Eremophila polyclada",1
"663","Lasioglossum (Chilalictus) sculpturatum","Aotus ericoides",1
"664","Lasioglossum (Chilalictus) sculpturatum","Jacksonia scoparia",2
"665","Lasioglossum (Chilalictus) sculpturatum","Leucopogon lanceolatus",1
"666","Lasioglossum (Chilalictus) sculpturatum","Phyllota phylicoides",10
"667","Lasioglossum (Chilalictus) sculpturatum","Pultenaea sp",1
"668","Lasioglossum (Chilalictus) sculpturatum","Symphionema monatum",1
"669","Lasioglossum (Chilalictus) sculpturatum","Wahlenbergia sp",4
"670","Lasioglossum (Chilalictus) sculpturatum","Zieria laevigata",1
"671","Lasioglossum (Chilalictus) seminitens","Eremophila sp",2
"672","Lasioglossum (Chilalictus) seminitens","Nemcia spathulata",1
"673","Lasioglossum (Chilalictus) sexsetum","Eremophila sturtii",7
"674","Lasioglossum (Chilalictus) sexsetum","Eucalyptus sp",2
"675","Lasioglossum (Chilalictus) sexsetum","Melaleuca sp",3
"676","Lasioglossum (Chilalictus) sexsetum","Nitraria billardierei",42
"677","Lasioglossum (Chilalictus) sororculum","Eremophila duttonii",1
"678","Lasioglossum (Chilalictus) sororculum","Eremophila mitchellii",3
"679","Lasioglossum (Chilalictus) sororculum","Eremophila youngii",2
"680","Lasioglossum (Chilalictus) sororculum","Myoporum sp",5
"681","Lasioglossum (Chilalictus) sororculum","Pterocaulon sphacelatum",1
"682","Lasioglossum (Chilalictus) sp. unsorted","Taraxacum officinale",1
"683","Lasioglossum (Chilalictus) sp. unsorted","Acacia sp",1
"684","Lasioglossum (Chilalictus) sp. unsorted","Acacia wilhelmiana",3
"685","Lasioglossum (Chilalictus) sp. unsorted","Calotis cuneifolia",2
"686","Lasioglossum (Chilalictus) sp. unsorted","Calytrix sp",1
"687","Lasioglossum (Chilalictus) sp. unsorted","Carpobrotus sp",1
"688","Lasioglossum (Chilalictus) sp. unsorted","Eremophila interstans",1
"689","Lasioglossum (Chilalictus) sp. unsorted","Eremophila maculata",1
"690","Lasioglossum (Chilalictus) sp. unsorted","Eremophila mitchellii",4
"691","Lasioglossum (Chilalictus) sp. unsorted","Eucalyptus calycogona",1
"692","Lasioglossum (Chilalictus) sp. unsorted","Eucalyptus socialis",1
"693","Lasioglossum (Chilalictus) sp. unsorted","Frankenia sp",1
"694","Lasioglossum (Chilalictus) sp. unsorted","Gompholobium grandiflorum",1
"695","Lasioglossum (Chilalictus) sp. unsorted","Hibbertia sp",1
"696","Lasioglossum (Chilalictus) sp. unsorted","Leucochrysum albicans",1
"697","Lasioglossum (Chilalictus) sp. unsorted","Melaleuca sp",6
"698","Lasioglossum (Chilalictus) sp. unsorted","Phebalium glandulosum",1
"699","Lasioglossum (Chilalictus) sp. unsorted","Phyllota phylicoides",1
"700","Lasioglossum (Chilalictus) sp. unsorted","Senna sp",1
"701","Lasioglossum (Chilalictus) sp. unsorted","Wahlenbergia sp",1
"702","Lasioglossum (Chilalictus) speculatum","Eremophila polyclada",2
"703","Lasioglossum (Chilalictus) subplebeium","Aristotelia australasica",1
"704","Lasioglossum (Chilalictus) subplebeium","Hibbertia scandens",1
"705","Lasioglossum (Chilalictus) subplebeium","Syzygium sp",1
"706","Lasioglossum (Chilalictus) tamburinei","Angophora floribunda",3
"707","Lasioglossum (Chilalictus) tamburinei","Angophora hispida",1
"708","Lasioglossum (Chilalictus) tamburinei","Eucalyptus camfieldii",1
"709","Lasioglossum (Chilalictus) tamburinei","Eucalyptus punctata",2
"710","Lasioglossum (Chilalictus) tamburinei","Eucalyptus sp",1
"711","Lasioglossum (Chilalictus) tamburinei","Kunzea ambigua",1
"712","Lasioglossum (Chilalictus) tamburinei","Xanthorrhoea media",3
"713","Lasioglossum (Chilalictus) teltiri","Hakea sp",1
"714","Lasioglossum (Chilalictus) triangulatum","Angophora floribunda",2
"715","Lasioglossum (Chilalictus) triangulatum","Eremophila longifolia",7
"716","Lasioglossum (Chilalictus) tridens","Chrysocephalum apiculatum",1
"717","Lasioglossum (Chilalictus) tridens","Craspedia sp",1
"718","Lasioglossum (Chilalictus) tridens","Podolepis canescens",1
"719","Lasioglossum (Chilalictus) tridens","Wahlenbergia sp",2
"720","Lasioglossum (Chilalictus) veronicae","Acacia sp",1
"721","Lasioglossum (Chilalictus) veronicae","Bursaria spinosa",1
"722","Lasioglossum (Chilalictus) veronicae","Eucalyptus socialis",2
"723","Lasioglossum (Chilalictus) veronicae","Eucalyptus sp",1
"724","Lasioglossum (Chilalictus) veronicae","Hakea sp",1
"725","Lasioglossum (Chilalictus) veronicae","Haloragis trigonocarpa",2
"726","Lasioglossum (Chilalictus) veronicae","Melaleuca sp",1
"727","Lasioglossum (Chilalictus) victoriellum","Mitrasacme polymorpha",1
"728","Lasioglossum (Chilalictus) victoriellum","Monotoca scoparia",1
"729","Lasioglossum (Chilalictus) victoriellum","Pultenaea scabra",2
"730","Lasioglossum (Chilalictus) victoriellum","Scaevola ramosissima",2
"731","Lasioglossum (Chilalictus) victoriellum","Stylidium sp",1
"732","Lasioglossum (Chilalictus) vitripenne","Acacia johnsonii",1
"733","Lasioglossum (Chilalictus) vitripenne","Blennodia canescens",1
"734","Lasioglossum (Chilalictus) vitripenne","Eremophila bowmanii",1
"735","Lasioglossum (Chilalictus) vitripenne","Eremophila goodwinii",1
"736","Lasioglossum (Chilalictus) vitripenne","Eremophila sturtii",14
"737","Lasioglossum (Chilalictus) vitripenne","Eucalyptus sp",3
"738","Lasioglossum (Chilalictus) vitripenne","Eucalyptus sp",1
"739","Lasioglossum (Chilalictus) vitripenne","Eucalyptus viridis",3
"740","Lasioglossum (Chilalictus) vitripenne","Hakea sp",1
"741","Lasioglossum (Chilalictus) vitripenne","Hakea tephrosperma",7
"742","Lasioglossum (Chilalictus) vitripenne","Leucopogon microphyllus",1
"743","Lasioglossum (Chilalictus) vitripenne","Wahlenbergia sp",2
"744","Lasioglossum (Chilalictus) willsi","Taraxacum officinale",1
"745","Lasioglossum (Chilalictus) willsi","Pultenaea microphylla",3
"746","Lasioglossum (Chilalictus) willsi","Wahlenbergia sp",23
"747","Lasioglossum (Chilalictus) xerophilum","Podolepis sp",4
"748","Lasioglossum (Chilalictus) xerophilum","Polycalymma stuartii",1
"749","Lasioglossum (Ctenonomia) msp. ctn1","Acacia buxifolia",1
"750","Lasioglossum (Ctenonomia) msp. ctn1","Acacia sp",2
"751","Lasioglossum (Ctenonomia) msp. ctn2","Acacia suavolens",1
"752","Lasioglossum (Ctenonomia) msp. ctn2","Boronia ledifolia",3
"753","Lasioglossum (Ctenonomia) msp. ctn2","Epacris microphylla",2
"754","Lasioglossum (Ctenonomia) msp. ctn2","Monotoca scoparia",20
"755","Lasioglossum (Ctenonomia) msp. ctn2","Petrophile pulchella",1
"756","Lasioglossum (Ctenonomia) msp. ctn2","Sprengelia incarnata",1
"757","Lasioglossum (Ctenonomia) msp. ctn2","Xanthorrhoea media",1
"758","Lasioglossum (Ctenonomia) sp. ctn3","Cassinia laevis",1
"759","Lasioglossum (Ctenonomia) sp. ctn3","Dianella caerulea",1
"760","Lasioglossum (Ctenonomia) sp. ctn3","Hibbertia sp",1
"761","Lasioglossum (Ctenonomia) sp. ctn3","Monotoca scoparia",1
"762","Lasioglossum (Ctenonomia) sp. ctn4","Taraxacum officinale",1
"763","Lasioglossum (Ctenonomia) sp. ctn4","Bursaria spinosa",1
"764","Lasioglossum (Ctenonomia) sp. ctn4","Eucalyptus sp",1
"765","Lasioglossum (Ctenonomia) sp. unsorted","Goodenia bellidifolia",1
"766","Lasioglossum (Ctenonomia) sp. unsorted","Monotoca scoparia",1
"767","Lasioglossum (Ctenonomia) sp. unsorted","Petalostylis labicheoides",1
"768","Lasioglossum (Ctenonomia) sp. unsorted","Platysace ericoides",7
"769","Lasioglossum (Ctenonomia) sp. unsorted","Scaevola ramosissima",7
"770","Lasioglossum (Ctenonomia) sp. unsorted","Senna artemisiodes",1
"771","Lasioglossum (Ctenonomia) sp. unsorted","Trimenia moorei",2
"772","Lasioglossum (Parasphecodes) acristum","Eremophila scoparia",1
"773","Lasioglossum (Parasphecodes) altichum","Taraxacum officinale",2
"774","Lasioglossum (Parasphecodes) altichum","Goodenia ovata",1
"775","Lasioglossum (Parasphecodes) altichum","Hakea sp",4
"776","Lasioglossum (Parasphecodes) altichum","Ranunculus sp",2
"777","Lasioglossum (Parasphecodes) atronitens","Actinotus helianthi",1
"778","Lasioglossum (Parasphecodes) atronitens","Epacris microphylla",1
"779","Lasioglossum (Parasphecodes) atronitens","Epacris pulchella",1
"780","Lasioglossum (Parasphecodes) atronitens","Kunzea ambigua",2
"781","Lasioglossum (Parasphecodes) atronitens","Philotheca sp",1
"782","Lasioglossum (Parasphecodes) atronitens","Xanthorrhoea media",2
"783","Lasioglossum (Parasphecodes) atronitens","Xerochrysum bracteatum",2
"784","Lasioglossum (Parasphecodes) bryotrichum","Callistemon citrinus",4
"785","Lasioglossum (Parasphecodes) bryotrichum","Callistemon sp",3
"786","Lasioglossum (Parasphecodes) bryotrichum","Dillwynia retorta",1
"787","Lasioglossum (Parasphecodes) bryotrichum","Kunzea ambigua",3
